"MyUnknownColumn";"S.No.";"president";"prior";"party";"vice";"salary";"date updated";"date created"
18;19;"Rutherford B. Hayes";"29th & 32nd  Governor of Ohio   (1868–1872 & 1876–1877)";"Republican";"William A. Wheeler";"$125.000,00";"14/07/2021";"04/03/2012"
19;20;"James A. Garfield";"U.S. Representative  for  Ohio's 19th District   (1863–1881)";"Republican";"Chester A. Arthur";"$135.000,00";"14/07/2021";"04/03/2012"
20;21;"Chester A. Arthur";"20th  Vice President of the United States";"Republican";"Office vacant";"$145.000,00";"14/07/2021";"04/03/2012"
21;22;"Grover Cleveland";"28th  Governor of New York   (1883–1885)";"Democratic";"Thomas A. Hendricks";"$155.000,00";"14/07/2021";"04/03/2012"
22;23;"Benjamin Harrison";"U.S. Senator   ( Class 1 )   from  Indiana   (1881–1887)";"Republican";"Levi P. Morton";"$165.000,00";"14/07/2021";"04/03/2012"
23;24;"Grover Cleveland";"22nd  President of the United States   (1885–1889)";"Democratic";"Adlai Stevenson";"$175.000,00";"14/07/2021";"04/03/2012"
24;25;"William McKinley";"39th  Governor of Ohio   (1892–1896)";"Republican";"Garret Hobart";"$185.000,00";"14/07/2021";"04/03/2012"
25;26;"Theodore Roosevelt";"25th  Vice President of the United States";"Republican";"Office vacant";"$195.000,00";"14/07/2021";"04/03/2012"
26;27;"William Howard Taft";"42nd  United States Secretary of War   (1904–1908)";"Republican";"James S. Sherman";"$205.000,00";"14/07/2021";"04/03/2012"
27;28;"Woodrow Wilson";"34th  Governor of New Jersey   (1911–1913)";"Democratic";"Thomas R. Marshall";"$225.000,00";"14/07/2021";"04/03/2012"
27;28;"Woodrow Wilson";"34th  Governor of New Jersey   (1911–1913)";"Demorcatic";"Thomas R. Marshall";"$225.000,00";"14/07/2021";"04/03/2012"
28;29;"Warren G. Harding";"U.S. Senator   ( Class 3 )   from  Ohio   (1915–1921)";"Republican";"Calvin Coolidge";"$235.000,00";"14/07/2021";"04/03/2012"
29;30;"Calvin Coolidge";"29th  Vice President of the United States";"Republican";"Office vacant";"$245.000,00";"14/07/2021";"04/03/2012"
30;31;"Herbert Hoover";"3rd  United States Secretary of Commerce   (1921–1928)";"Republican";"Charles Curtis";"$255.000,00";"14/07/2021";"04/03/2012"
31;32;"Franklin D. Roosevelt";"44th  Governor of New York   ( 1929–1932 )";"Democratic";"John Nance Garner";"$265.000,00";"14/07/2021";"04/03/2012"
32;33;"Harry S. Truman";"34th  Vice President of the United States";"Democratic";"Office vacant";"$275.000,00";"14/07/2021";"04/03/2012"
33;34;"Dwight D. Eisenhower";"Supreme Allied Commander Europe   ( 1949–1952 )";"Republican";"Richard Nixon";"$285.000,00";"14/07/2021";"04/03/2012"
34;35;"John F. Kennedy";"U.S. Senator   ( Class 1 )   from  Massachusetts   (1953–1960)";"Democratic";"Lyndon B. Johnson";"$295.000,00";"14/07/2021";"04/03/2012"
35;36;"Lyndon B. Johnson";"37th  Vice President of the United States";"Democratic";"Office vacant";"$305.000,00";"14/07/2021";"04/03/2012"
36;37;"Richard Nixon";"36th  Vice President of the United States   (1953–1961)";"Republican";"Spiro Agnew";"$315.000,00";"14/07/2021";"04/03/2012"
37;38;"Gerald Ford";"40th  Vice President of the United States";"Republican";"Office vacant";"$325.000,00";"14/07/2021";"04/03/2012"
38;39;"Jimmy Carter";"76th  Governor of Georgia   (1971–1975)";"Democratic";"Walter Mondale";"$335.000,00";"14/07/2021";"04/03/2012"
39;40;"Ronald Reagan";"33rd  Governor of California   ( 1967–1975 )";"Republican";"George H. W. Bush";"$345.000,00";"14/07/2021";"04/03/2012"
40;41;"George H. W. Bush";"43rd  Vice President of the United States";"Republican";"Dan Quayle";"$355.000,00";"14/07/2021";"04/03/2012"
41;42;"Bill Clinton";"40th & 42nd  Governor of Arkansas   (1979–1981 & 1983–1992)";"Democratic";"Al Gore";"$365.000,00";"14/07/2021";"04/03/2012"
42;43;"George W. Bush";"46th  Governor of Texas   ( 1995–2000 )";"Republican";"Dick Cheney";"$375.000,00";"14/07/2021";"04/03/2012"
43;44;"Barack Obama";"U.S. Senator   ( Class 3 )   from  Illinois   ( 2005–2008 )";"Democratic";"Joe Biden";"$395.000,00";"mi�rcoles, 14 de julio de 2021";"s�bado, 1 de febrero de 2020"
43;44;"Barack Obama";"U.S. Senator   ( Class 3 )   from  Illinois   ( 2005–2008 )";"Democratic";"Joe Biden";"$395.000,00";"mi�rcoles, 14 de julio de 2021";"s�bado, 1 de febrero de 2020"
44;45;"Donald Trump";"Chairman of   The Trump Organization   ( 1971–present )";"Republicans";"Mike Pence";"$405.000,00";"mi�rcoles, 14 de julio de 2021";"s�bado, 1 de febrero de 2020"
